-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 09/27/2024 through 10/01/2024 
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
ALLSKY_SFC_SW_DNI     CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI
36.75,-101.75,2024,271,20.5,20.31,-999.0
36.75,-101.25,2024,271,20.5,20.31,-999.0
36.75,-100.75,2024,271,20.38,20.28,-999.0
36.75,-100.25,2024,271,20.38,20.28,-999.0
36.75,-99.75,2024,271,20.34,20.14,-999.0
36.75,-99.25,2024,271,20.34,20.14,-999.0
36.75,-98.75,2024,271,20.21,20.05,-999.0
36.75,-98.25,2024,271,20.21,20.05,-999.0
36.75,-97.75,2024,271,19.98,19.85,-999.0
36.75,-97.25,2024,271,19.98,19.85,-999.0
36.75,-96.75,2024,271,19.8,19.72,-999.0
36.75,-96.25,2024,271,19.8,19.72,-999.0
36.75,-95.75,2024,271,-999.0,17.97,-999.0
36.75,-95.25,2024,271,-999.0,17.97,-999.0
36.75,-94.75,2024,271,-999.0,13.86,-999.0
37.25,-101.75,2024,271,20.11,19.92,-999.0
37.25,-101.25,2024,271,20.11,19.92,-999.0
37.25,-100.75,2024,271,19.99,19.91,-999.0
37.25,-100.25,2024,271,19.99,19.91,-999.0
37.25,-99.75,2024,271,19.95,19.75,-999.0
37.25,-99.25,2024,271,19.95,19.75,-999.0
37.25,-98.75,2024,271,19.9,19.83,-999.0
37.25,-98.25,2024,271,19.9,19.83,-999.0
37.25,-97.75,2024,271,19.7,19.65,-999.0
37.25,-97.25,2024,271,19.7,19.65,-999.0
37.25,-96.75,2024,271,19.56,19.37,-999.0
37.25,-96.25,2024,271,19.56,19.37,-999.0
37.25,-95.75,2024,271,19.5,17.24,-999.0
37.25,-95.25,2024,271,19.5,17.24,-999.0
37.25,-94.75,2024,271,-999.0,13.17,-999.0
37.75,-101.75,2024,271,20.11,19.92,-999.0
37.75,-101.25,2024,271,20.11,19.92,-999.0
37.75,-100.75,2024,271,19.99,19.91,-999.0
37.75,-100.25,2024,271,19.99,19.91,-999.0
37.75,-99.75,2024,271,19.95,19.75,-999.0
37.75,-99.25,2024,271,19.95,19.75,-999.0
37.75,-98.75,2024,271,19.9,19.83,-999.0
37.75,-98.25,2024,271,19.9,19.83,-999.0
37.75,-97.75,2024,271,19.7,19.65,-999.0
37.75,-97.25,2024,271,19.7,19.65,-999.0
37.75,-96.75,2024,271,19.56,19.37,-999.0
37.75,-96.25,2024,271,19.56,19.37,-999.0
37.75,-95.75,2024,271,19.5,17.24,-999.0
37.75,-95.25,2024,271,19.5,17.24,-999.0
37.75,-94.75,2024,271,-999.0,13.17,-999.0
38.25,-101.75,2024,271,19.75,19.54,-999.0
38.25,-101.25,2024,271,19.75,19.54,-999.0
38.25,-100.75,2024,271,19.58,19.41,-999.0
38.25,-100.25,2024,271,19.58,19.41,-999.0
38.25,-99.75,2024,271,19.53,19.27,-999.0
38.25,-99.25,2024,271,19.53,19.27,-999.0
38.25,-98.75,2024,271,19.54,19.36,-999.0
38.25,-98.25,2024,271,19.54,19.36,-999.0
38.25,-97.75,2024,271,19.41,19.32,-999.0
38.25,-97.25,2024,271,19.41,19.32,-999.0
38.25,-96.75,2024,271,19.31,19.23,-999.0
38.25,-96.25,2024,271,19.31,19.23,-999.0
38.25,-95.75,2024,271,19.23,17.77,-999.0
38.25,-95.25,2024,271,19.23,17.77,-999.0
38.25,-94.75,2024,271,-999.0,13.3,-999.0
38.75,-101.75,2024,271,19.75,19.54,-999.0
38.75,-101.25,2024,271,19.75,19.54,-999.0
38.75,-100.75,2024,271,19.58,19.41,-999.0
38.75,-100.25,2024,271,19.58,19.41,-999.0
38.75,-99.75,2024,271,19.53,19.27,-999.0
38.75,-99.25,2024,271,19.53,19.27,-999.0
38.75,-98.75,2024,271,19.54,19.36,-999.0
38.75,-98.25,2024,271,19.54,19.36,-999.0
38.75,-97.75,2024,271,19.41,19.32,-999.0
38.75,-97.25,2024,271,19.41,19.32,-999.0
38.75,-96.75,2024,271,19.31,19.23,-999.0
38.75,-96.25,2024,271,19.31,19.23,-999.0
38.75,-95.75,2024,271,19.23,17.77,-999.0
38.75,-95.25,2024,271,19.23,17.77,-999.0
38.75,-94.75,2024,271,-999.0,13.3,-999.0
39.25,-101.75,2024,271,19.39,19.07,-999.0
39.25,-101.25,2024,271,19.39,19.07,-999.0
39.25,-100.75,2024,271,19.17,19.09,-999.0
39.25,-100.25,2024,271,19.17,19.09,-999.0
39.25,-99.75,2024,271,19.09,18.9,-999.0
39.25,-99.25,2024,271,19.09,18.9,-999.0
39.25,-98.75,2024,271,19.15,18.95,-999.0
39.25,-98.25,2024,271,19.15,18.95,-999.0
39.25,-97.75,2024,271,19.1,18.98,-999.0
39.25,-97.25,2024,271,19.1,18.98,-999.0
39.25,-96.75,2024,271,19.01,18.94,-999.0
39.25,-96.25,2024,271,19.01,18.94,-999.0
39.25,-95.75,2024,271,18.96,18.6,-999.0
39.25,-95.25,2024,271,18.96,18.6,-999.0
39.25,-94.75,2024,271,-999.0,14.78,-999.0
39.75,-101.75,2024,271,19.39,19.07,-999.0
39.75,-101.25,2024,271,19.39,19.07,-999.0
39.75,-100.75,2024,271,19.17,19.09,-999.0
39.75,-100.25,2024,271,19.17,19.09,-999.0
39.75,-99.75,2024,271,19.09,18.9,-999.0
39.75,-99.25,2024,271,19.09,18.9,-999.0
39.75,-98.75,2024,271,19.15,18.95,-999.0
39.75,-98.25,2024,271,19.15,18.95,-999.0
39.75,-97.75,2024,271,19.1,18.98,-999.0
39.75,-97.25,2024,271,19.1,18.98,-999.0
39.75,-96.75,2024,271,19.01,18.94,-999.0
39.75,-96.25,2024,271,19.01,18.94,-999.0
39.75,-95.75,2024,271,18.96,18.6,-999.0
39.75,-95.25,2024,271,18.96,18.6,-999.0
39.75,-94.75,2024,271,-999.0,14.78,-999.0
36.75,-101.75,2024,272,20.62,20.57,-999.0
36.75,-101.25,2024,272,20.62,20.57,-999.0
36.75,-100.75,2024,272,20.46,20.41,-999.0
36.75,-100.25,2024,272,20.46,20.41,-999.0
36.75,-99.75,2024,272,20.31,20.17,-999.0
36.75,-99.25,2024,272,20.31,20.17,-999.0
36.75,-98.75,2024,272,-999.0,19.59,-999.0
36.75,-98.25,2024,272,-999.0,19.59,-999.0
36.75,-97.75,2024,272,-999.0,18.9,-999.0
36.75,-97.25,2024,272,-999.0,18.9,-999.0
36.75,-96.75,2024,272,-999.0,16.11,-999.0
36.75,-96.25,2024,272,-999.0,16.11,-999.0
36.75,-95.75,2024,272,-999.0,15.4,-999.0
36.75,-95.25,2024,272,-999.0,15.4,-999.0
36.75,-94.75,2024,272,-999.0,15.47,-999.0
37.25,-101.75,2024,272,20.3,20.16,-999.0
37.25,-101.25,2024,272,20.3,20.16,-999.0
37.25,-100.75,2024,272,20.15,20.09,-999.0
37.25,-100.25,2024,272,20.15,20.09,-999.0
37.25,-99.75,2024,272,20.03,19.85,-999.0
37.25,-99.25,2024,272,20.03,19.85,-999.0
37.25,-98.75,2024,272,19.84,19.5,-999.0
37.25,-98.25,2024,272,19.84,19.5,-999.0
37.25,-97.75,2024,272,-999.0,17.2,-999.0
37.25,-97.25,2024,272,-999.0,17.2,-999.0
37.25,-96.75,2024,272,-999.0,16.39,-999.0
37.25,-96.25,2024,272,-999.0,16.39,-999.0
